playlist_id,artist_name
738000,"['Commodores', 'The Police', 'Run–D.M.C.', 'The Human League', 'Prince', 'The Ronettes', 'Neil Diamond', 'Bob Marley & The Wailers', 'UB40', 'Def Leppard', 'Bette Midler', 'Bill Medley', 'Simon & Garfunkel', 'John Mellencamp', 'Culture Club', 'Phil Collins', 'Janet Jackson', 'Nena']"
738001,"['Rae Sremmurd', 'Ludwig van Beethoven', 'Claude Debussy', 'Frédéric Chopin', 'Wolfgang Amadeus Mozart', 'Franz Schubert', 'Franz Liszt', 'Thomas Newman']"
738002,"['Maroon 5', 'Cage The Elephant', 'Glass Animals', 'Luis Fonsi', 'Sublime', 'Quinn XCII', 'J Balvin', 'John Mayer', 'a-ha', 'Young Thug', 'Adele', 'Pentatonix', 'Fergie', 'Camila Cabello', 'OutKast', 'French Montana', 'The Lumineers', 'Chance The Rapper', 'Ed Sheeran', 'Justin Timberlake', 'Shakira', 'blackbear', 'Vance Joy', 'Drake', 'Snoop Dogg', 'Katy Perry', 'Aminé', 'MisterWives', 'Portugal. The Man', 'Maejor Ali', '21 Savage', 'Justin Bieber', 'Nicky Jam', 'Ellie Goulding', 'BØRNS', 'Yo Gotti', 'Britney Spears', 'Earth, Wind & Fire', 'The Weeknd', 'Toto', 'Fitz and The Tantrums']"
738003,"['BANNERS', 'G-Eazy', 'Lana Del Rey', 'Lorde', 'Big Sean', 'Låpsley', 'Earl Sweatshirt', 'Marian Hill']"
738004,"['NAV', 'YFN Lucci', 'Khalid', 'Kanye West', 'Marc E. Bassy', 'Marian Hill', 'Future', 'Eric Church', 'Lil Uzi Vert', 'Chance The Rapper', 'Thomas Rhett', 'Drake', 'Josh Turner', 'Ariana Grande', 'Snoop Dogg', 'Bryson Tiller', 'KYLE', 'Far East Movement', 'J. Cole', 'DRAM', 'PARTYNEXTDOOR', 'Major Lazer', 'Tory Lanez', 'Zay Hilfigerrr']"
738005,"['Rihanna', 'The Killers', 'Little Big Town', 'The Kooks', 'Mumford & Sons', 'Glass Animals', 'Matt Corby', 'Bleachers', 'Khalid', 'Of Monsters and Men', 'Banks', 'John Mayer', 'The Neighbourhood', 'The National', 'Kaleo', 'Kodaline', 'Fleetwood Mac', 'Calum Scott', 'Bon Iver', 'Lana Del Rey', 'Lorde', 'Daughter', 'The Lumineers', 'City and Colour', 'Ed Sheeran', 'Blind Pilot', 'Vance Joy', 'The 1975', 'Tracy Chapman', 'Ryan Adams', 'The xx', 'Coldplay', 'LANY', 'Niall Horan', 'Hozier', 'X Ambassadors', ""Bear's Den"", 'Ben Howard', 'The Civil Wars', 'WALK THE MOON', 'The Goo Goo Dolls', 'Benjamin Francis Leftwich', 'The Head and the Heart', 'Passenger']"
738006,"['Mac Miller', 'R. Kelly', 'Flo Rida', 'Wes Walker', 'Big & Rich', 'T.I.', 'Big Sean', 'Jennifer Lopez', 'Kanye West', '50 Cent', 'SoMo', 'Chris Brown']"
738007,"['Cody Simpson', 'Flo Rida', 'Bruno Mars', 'Trey Songz', 'The Vamps', 'B.o.B', 'Shawn Mendes', 'Adele', 'Hailee Steinfeld', '5 Seconds of Summer', 'Rudimental', 'Gwen Stefani', 'Ray J', 'One Direction', 'Halsey', 'Shakira', 'Drake', 'Ariana Grande', 'Wes Walker', 'The Chainsmokers', 'Selena Gomez', 'Lil Wayne', 'Hozier', 'Justin Bieber', 'Ella Eyre', 'Ellie Goulding', 'Daya', 'Haley Reinhart', 'The Weeknd']"
738008,"['Rihanna', 'DJ Khaled', 'Maroon 5', 'John Legend', 'James Arthur', 'DeJ Loaf', 'Joan Sebastian', 'Trey Songz', 'Eric Bellinger', 'Kelly Rowland', 'MKTO', 'Kanye West', 'Lil Durk', 'Chris Brown', 'Sevyn Streeter', 'Adele', 'Future', 'Shawn Mendes', 'K CAMP', 'Akon', 'Jeremih', 'Enrique Iglesias', 'Kodaline', 'Mario', 'Gotye', 'Natalie La Rose', 'Jaymes Young', 'French Montana', 'Alicia Keys', 'Daddy Yankee', 'Niykee Heaton', 'Wale', 'Fetty Wap', 'Cascada', 'La Arrolladora Banda El Limón De Rene Camacho', 'Ed Sheeran', 'Halsey', 'T-Pain', 'Andrew Belle', 'Banda Sinaloense MS de Sergio Lizárraga', 'Drake', 'Katy Perry', 'Wiz Khalifa', 'Selena Gomez', 'Nicki Minaj', 'Matisyahu', 'Nelly', 'Aventura', 'Bryson Tiller', 'Ariel Camacho y Los Plebes Del Rancho', 'Sam Smith', 'Tinashe', 'Edwin Luna y La Trakalosa de Monterrey', 'David Guetta', 'Meek Mill', 'Selena', 'Justin Bieber', 'Jack Ü', 'Nicky Jam', 'Ellie Goulding', 'Ron Pope', 'August Alsina', 'Julión Álvarez y su Norteño Banda', 'Childish Gambino', 'Nick Jonas', 'Banda El Recodo', 'Mariah Carey', 'Casey Veggies', 'Major Lazer', 'Jennifer Lopez', 'The Weeknd', 'Romeo Santos', 'Labrinth', 'Shaggy', 'ScHoolboy Q', 'Alina Baraz']"
738009,"['Adele', 'Miley Cyrus', 'Kelly Clarkson', 'Michael Jackson', 'John Legend', 'Eminem', 'Ariana Grande', 'Selena Gomez', ""Destiny's Child"", 'Iggy Azalea', 'Whitney Houston', 'Boyce Avenue', 'Labrinth', 'Straight No Chaser', 'Rascal Flatts']"
